N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	0.627784698490556	1.0	33.424278	53.241625799999994
2	1.2011599054246522	1.7459249359282492	36.629127000000004	30.4947966
3	1.8283610488981161	2.432787292530796	40.013738599999996	21.8850312
4	2.4332786918069766	2.987761919504116	43.360788799999995	17.819902399999997
5	2.138497484693831	2.440312655190483	46.656760399999996	21.8175428
6	2.539109366927106	2.7003138182108284	50.06318520000001	19.716829
7	2.938067910032895	2.9335273846887855	53.324033400000005	18.1493536
8	3.3436860529388506	3.1388080743855458	56.716842	16.9623706
9	1.2120279989574017	1.9166323363996622	33.4755552	27.619457
10	1.1464847863475083	1.8023990382546289	33.6721848	29.369936000000003
11	1.0577453221473712	1.6697256887789724	33.534352999999996	31.703617399999995
12	1.0283830498048705	1.615558118992553	33.6966146	32.766598599999995
13	1.0220446974824406	1.6138410021657204	33.611021199999996	32.886058
14	0.7528138608110884	1.1984954209373515	33.44279266666667	44.42372066666667
15	0.8175022724506958	1.140231079061624	38.17221866666666	46.69371566666667
16	0.7723289954536324	1.2283552725943734	33.475699	43.343833
