N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	0.6020321546260844	1.0	54.714254600000004	90.8826118
2	0.8567981975324843	2.2766015487990674	34.2036392	39.9202978
3	1.1003297182732885	2.868680027824892	34.8595304	31.680985999999997
4	1.2984427697227394	3.3887234414754976	34.8231044	26.8191292
5	1.1234221889449927	2.86239881200761	35.6692234	31.7505064
6	0.36386250704210793	0.4496009281828111	87.762659	241.19731299999998
7	0.5570588996347249	1.8127329294390013	33.3247544	59.8226766
8	0.13897942899589852	0.21262772033068789	29.126351800000002	209.5731146
9	0.6734405839650514	1.0300135666869128	29.134783200000005	43.262589
10	0.16899580333282532	0.2375378004465051	64.65825633333334	382.60273366666667
10	0.16131142432132187	0.22752528939677438	64.43417166666667	399.4396053333333
10	0.08698384443452466	0.23138948349319965	34.164556	392.76898166666666
11	0.8477758624152377	2.252488560278597	34.20576066666667	40.34764633333333
12	0.09191630096839697	0.2448884977755451	34.11182466666667	371.118336
13	0.7307545432337831	1.9642985270727624	33.80997366666667	46.267209666666666
14	0.08343012257233971	0.22519543145783455	33.67007666666667	403.5721826666666
15	0.6461859701315931	1.7474535662842985	33.607227	52.008599000000004
16	0.07853410116136807	0.21071913559410652	33.87155233333334	431.29738333333336
