N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	1.0694511946725058	1.0	13.308276333333334	12.444023999999999
2	0.7885719975499073	1.8974989627361134	5.171549000000001	6.5581190000000005
3	2.075220568363249	2.606261281420216	9.9084826	4.7746648
4	2.744126040865393	2.5770585406172968	13.250754599999999	4.8287704
5	0.702597336411371	0.5265591452230057	16.604284999999997	23.632718399999998
6	0.10002762103161342	0.06153535116624238	20.228146799999998	202.2256112
7	0.7831056270196076	0.40542673123933926	24.0363658	30.693644600000006
8	0.14483759782431968	0.0665361726092048	27.0884614	187.0264476
9	0.9835074728940664	0.39440626751553143	31.0309232	31.551283599999998
10	0.08749773690619062	0.032540759648238826	33.460311	382.413445
11	0.8054966303055154	0.2999497780332536	33.417659	41.4870252
12	0.08757541768901565	0.032709840208264944	33.3169038	380.4367102
13	0.67357776101558	0.25071887919028935	33.4319372	49.633374399999994
14	0.09370806515296932	0.02917141030531445	39.9742556	426.5828724
15	0.8124980609959128	0.229800127606413	43.9979972	54.15151039999999
16	0.10777036631082876	0.028548319133798274	46.9763918	435.89340380000004
