N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	0.6266492262223607	1.0	3.1609527999999996	5.044214
2	1.2594268635128254	0.9673295802128817	6.5673776	5.2145764
3	1.8560927880461795	0.9429897166510899	9.9285592	5.3491718
4	2.4166201774232334	0.9166787122540752	13.297951799999998	5.5027066
5	2.181766463412457	0.6621286959757935	16.6210844	7.6181776
6	2.543428483394927	0.6432996248768358	19.9434246	7.841158
7	2.930529783319985	0.6362445685951653	23.233549	7.9281054
8	3.3306755939395694	0.6325631605828644	26.5596252	7.974245600000001
9	3.7196997646947025	0.6267717915355004	29.9358744	8.0479276
10	4.094088045841533	0.6228169765000282	33.158146	8.099031
11	4.508351902094652	0.6242308976185712	36.430577	8.080686199999999
12	4.944930527982564	0.6263872541711287	39.8208738	8.0528682
13	5.346067912140739	0.6251571657012877	43.1358898	8.0687134
14	5.718524731849387	0.620939980030807	46.45451	8.123512999999999
15	6.134683821962089	0.6219357647014495	49.75539239999999	8.1105064
16	6.555150943758766	0.6228945169183766	53.083761800000005	8.0980228
