N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	1.0596590321100803	1.0	3.1060153333333336	2.931146
2	1.4287918292596902	0.6481562520523373	6.4614009999999995	4.522283
3	2.0587325629954103	6.33589826868812	9.685517333333335	4.704602
4	2.755744124426087	6.292661375003854	13.053759666666666	4.736927333333333
5	3.4782033385629143	6.28193493144069	16.504129333333335	4.745015666666667
6	3.8834098232084946	5.832779224462393	19.845807333333337	5.110407666666667
7	4.893276382959193	6.284916448872929	23.20765833333333	4.742764666666667
8	5.203185129506659	5.831194696137151	26.597622666666666	5.111796333333333
9	6.266454098993465	6.235318034299409	29.956725333333335	4.780490666666666
10	6.321405029605049	5.665110503486956	33.261077666666665	5.261658999999999
11	7.630810753025556	6.207552260853751	36.64218666666667	4.801873333333333
12	7.602576594269526	5.66774168952548	39.983595	5.259216333333334
13	9.036234369197947	6.220644199335777	43.299532666666664	4.7917673333333335
14	8.839786945742619	5.656593886054066	46.58197333333333	5.269581
15	10.384013607830497	6.216851891234409	49.78812966666666	4.794690333333333
16	9.842083670373103	5.502805227267623	53.313107333333335	5.416851666666667
