N_proc	Speedup	Scalability	Avg_Ser_Time	Avg_Par_Time
1	1.0823423099567666	1.0	32.262329333333334	29.80787966666667
2	1.413237331744112	1.3014730832859247	32.367636999999995	22.90318566666667
3	2.0546788062977743	1.8890253739735683	32.42180833333334	15.779501999999999
4	2.7304994724197598	2.50541116811485	32.48584533333334	11.897400333333332
5	3.3529303487332642	3.0726799427244433	32.52657166666667	9.700938666666666
6	3.8958092825850157	3.571611572413295	32.513562	8.345778666666668
7	4.739076686032236	4.348664629624055	32.483955333333334	6.854490333333334
8	5.081162746057666	4.656822936591151	32.52403833333333	6.4009046666666665
9	6.019028913778794	5.527910950721811	32.45611066666667	5.392250333333333
10	6.0978675310367825	5.60705493304507	32.417107333333334	5.316138333333334
11	7.240292059855159	6.652331903782421	32.44242133333333	4.480816666666667
12	7.019798115728526	6.450391317673606	32.43916333333333	4.621096333333333
13	8.405765757010833	7.704048303158075	32.522908	3.869119
14	8.033439998813304	7.369365470876039	32.49395266666667	4.044836666666667
15	9.476792347157208	8.675422031628981	32.561307666666664	3.4358996666666664
16	8.542753466166648	7.813391356165007	32.590376666666664	3.814973333333333
